19VQHLHEV7POQDIW8	75
3JG5KVODAPFDCGWNOO	79
19VQHLHEV7PQDWVE0	73
19VQHLHEV7UA4PNVS	89
3JG5KVODAPS4QNOLK8	96
19VQHLHEV7UBS90DK	93
19VQHLHEVKH4K3LDK	99
3JG5KVODBP87IKPK3C	96
5Y2C6RB9C8AFG8	83
GIMHURV9XZBPY48	86
19VQHLHFUNT1WGA4S	79
3JG5KVOG164PXCK3T8	83
19VQHLHFUNT3JZMMK	77
19VQHLHFUNXNASF4C	93
19VQHLHFUNXOYBRM4	97
5Y2C6RBDVUWZ2K	99
5Y2C6RBDXIGJA4	91
5Y2C6RBDXMMKIK	97
RQQOYAR19OC	63
3JG5KVOGBYXT02ODAK	86
9U0VHZZXD91WKUN0VV0	90
3JG5KVOGBYXT1Q7PSC	84
GIMHURVNYJ30KNW	94
1ALI2SXC	29
3JG5KVPI6PN79OKJC8	90
9U0VI02UIN8G7JGDW4O	94
3JG5KVPI6PN7BC3VU0	88
GIMHUS0KKJH8ZW8	98
3JG5KVPI7P3AMUNAKS	82
9U0VI02ULDP5K4C1C98	86
3JG5KVPI7P3AOI6N2K	80
3JG5KVPI7P3F88ZFKC	96
GIMHUS0KP4RF3Q4	94
252A5BAI07E4C	66
9U0VI02ULOHYN725LQK	89
RBEFI07X081W8G96WCB0	93
9U0VI02ULOHYN8POY8C	87
19VQHLHTLJ2NZ1D3W	97
3LFQ7SBMC	49
5Y2C6UJ5BDZJUO	92
GIMHV0T6SA0XAV4	96
5Y2C6UJ5D1IWCG	90
RBEFIES4EXN6IHQV6UV4	98
GIMHV0TJJ2Y1SSG	91
19VQHM6A2906V67GG	94
GIMHV0TJJ2YN8E8	83
9U0VI5BKBHP9WLGUM80	96
19VQHM6A2AN9NP2WW	98
19VQHM6A2AN9OAIIO	90
GIMHV0TJNOBSI68	95
19VQHM6A2LRL1CPQ8	98
GIMHV0TJNOCDXS0	87
5Y2C6UJEQGCKAO	98
3JG5KXLL7GHDRAWXKW	96
3JG5KXLLK5FZY3UV40	95
3JG5KXLOAM5CJ03QRK	96
19VQHM6NRDMCZBDC0	92
252A5CG81TJR4	69
5Y2C6UL2D22UC4	89
3JG5KXMKOF3108AW1S	97
9U0VI5EPLNIS4Q64FNK	99
19XD48E5GUHIO6AJS	83
3JKOFRBB6SOOICTH48	87
19XD48E5GUHKBPN1K	81
19XD48E5GUM42IFJC	97
